积压量,原始数据,有效次数,均值(ms),标准差(ms)
50,"117;112;114;112;113;120;113;113;115;113",8,113.8,1.5
200,"117;121;119;113;118;119;114;114;113;113",8,115.9,2.5
500,"116;118;117;120;119;119;113;116;114;115",8,116.8,1.7
1000,"114;115;117;116;114;113;113;115;116;119",8,115.0,1.2
2000,"115;116;117;117;115;116;116;115;116;114",8,115.8,0.7
5000,"115;116;116;117;118;118;121;119;115;115",8,116.8,1.4
